comment_id,processed_text
1657317551537951,nancy prisháàn s mum should advise how check absence power
1350165329680177,duba sakala rushing comment exactly like
918822943645810,saviour alingo chisanga thought too l t see symbol prepaid meter
918822943645810,joyce nyirenda don t know how process zesco limited help us meter doesn t how going update
918822943645810,saviour alingo chisanga even us
918822943645810,saviour alingo chisanga only applies u want check meter upto date however meter doesn t just buy power tokens come kct 1 2 enter those first before tokens signs know meter date entering power tokens refusing until u enter kct 1 2 follow process retrieving previously bought zesco tokens phone dialing 3600 select option 3 enter meter number etc
1076213584157956,wise chansa sure let just automatically
1567383927241606,chila cn chirwa even go check remembered power
1290223178817006,how update power
1073915294429399,think citizens need something extremely poor customer service collectively because too much now first how give short notice assuming everyone money areas having power how update benefits same update mean loadshedding minimal
2243515476024552,zesco limited order how issue ultimatum provided alternative know most residential homes don t power
3799239766956172,how expect us haven t power chalala group e
1215579079549987,zesco limited please don t make upset morning like how supposed check s power va zii
1643693216550682,zesco limited code doesn t work happens tomorrow those us unable check
603831848879085,how announce today give us less than 48hrs update meanwhile people don t get electricity than 3 days
918822943645810,wilson musakanya last day s tomorrow nothing
918822943645810,saviour alingo chisanga battery powered meters those attached wall usually come just press 005 enter see 2 2 1 2 see 2 2 updated
3799239766956172,chi sanga least even know group
1215579079549987,chipemubanga tembo need show us how update without electricity
2503679246506239,get 2 45 check metre update noted
1205985963828776,kaya how check meter us kabwata site service thrown dust bin comes power zesco limited let s order
956196666351546,pre paid meter key now
1616637372559879,how those facebook phones know short notice
491322200621450,zesco limited how haven t supplying us power silverest forget prepaid meters only active power available trying mock us behavior giving us power 30 mins things gotten bad only supply us power 30 mins tell us s happening
1091858975810538,zesco limited how expect us check power only comes few minutes goes kwatenicko order give us power needful
1978437159337183,zesco limited supply than month filled complaint promised called engineers come work date s nothing hearing guys
1236419614249700,question power comes midnight how expect people zesco limited now becoming nuisance
414951508222199,zesco management needs mental assessment how going check update prepaid meters never power let give us power able update useless meters
431024819872113,how update use bluetooth cause know only update s power
1096573222127959,mary phiri done nothing like updating pama units iam sure just want customers buy units
1096573222127959,bridget tembo true seen buying k20 units 3 months pama meters
1096573222127959,bridget tembo get kct 1 2 dial 3600 choose prepaid token option 3 enter meter number boom
1096573222127959,yamezjr effect meters don t keys idea how sunday t call zesco obviously
1096573222127959,mangani ng wane phone got key t find meter should now
1096573222127959,bridget tembo don t key meter automatically just enter first ktc1 code meter automatically clear enter ktc2 code clear enter code units check units added means need call zesco come update
2503679246506239,tumba le vivré masters comply
1091858975810538,carolyn bwalya call call center sure assist
934227224870277,roll over mumbers shown zesco app valid because tried entering those numbers without success dont receive roll over pins buy zesco units mean successful entering numbers because sad face blinks metre box understand means successful
579517041147242,how dont power nishi prepaid works ku solar
559356870364711,how supposed without electricity aware meters work electricity didn t electricity whole day yesterday 05 00hrs power came midnight just say hi went back previous experience sundays most likely going power whole day advice please
1306240460754096,how even update without power kindly advise how update without power
457179294077447,meter doesn t function discount scatter company enough enough
1018509556747250,aren t supposed online sure realize many illiterate people zambia beside power even s never home
547133917751249,don t power how update meters saying deadline tomorrow just sent msg yesterday
918822943645810,saviour alingo chisanga same question sir how
573871758590582,how check without power t set deadline tomorrow s power disconnect pela
1269495240914028,us businesses far away electrified houses town put notification valid within 2 days how work together country
578739588183932,meter prepaid doesn t hash key how update
1301581687416894,s prepaid how go
1206656877068767,zesco respond questions since customer care service responding calls how check system updated meter boxes buttons
3921559501407227,chipo veronica kalinda want u wake 01 just upgrade lol
9184598344883772,wake 03 also hour window before cut power
478577728012542,mean now electricity how dare give us deadline want us wake 02 start updating meters
1989644291473922,people buying units close 5 months now missed monies just bought own units 31st july 2024 update still 86 units think reach march 2025 feel pity business money cophers
930146739044579,don t power please tell us another way check prepaid without power
1201900610904461,power right now happens don t restore power area before deadline
883781467228647,well zesco limited care investing central update system restore power graveyard hours how expect clients update meters off
1206656877068767,henry mutale chimanga see talking ka meters
1206656877068767,bob banda eventually went dm s seems like meter already updated remember e tearing stuff last time thought like different update
1730481487806792,how restored power ku group e
